,Name,Team,Level,Age,ERA,GS,IP,H,R,ER,HR,BB,HBP,SO,K%,BB%,K-BB%,WHIP,BABIP,LOB%,FIP,xFIP,GB%,SwStr%,Balls,Strikes,PlayerId,EDB Team,TWTC Team,BL Team
491,Wilber Dotel,PIT,A+,21,5.50188710925333,21,88.1,82,57,54,20,46,4,83,0.21447028,0.11886305,0.09560724,1.44905668721075,0.26495726,0.72115385,6.34576154815468,4.96879267774339,0.383399209,0.12376564,541,978,sa3015163,,,
492,Drake Fellows,PIT,"A+,AA,AAA",26,5.34782593912799,12,69.0,66,44,41,6,38,3,63,0.20322581,0.12258065,0.08064516,1.50724633514718,0.3,0.63894523,4.55277734976573,4.64514951177444,0.460396039,0.12897527,436,696,sa3015208,,,
493,Manuel Mercedes,SFG,A+,21,5.45547973713703,21,97.1,107,66,59,11,46,10,75,0.16968326,0.1040724,0.06561086,1.57191789036151,0.32,0.65718157,5.13395729739618,4.51067772299306,0.567656765,0.09007353,659,973,sa3015214,,,
494,Joe Elbis,ARI,"A+,AA",21,3.11214958818648,19,107.0,84,41,37,8,36,4,91,0.20728929,0.08200456,0.12528474,1.12149534709423,0.25333333,0.7358156,3.86605787607579,4.22083602903231,0.4180602,0.11919699,547,1047,sa3015216,,,
495,Victor Lizarraga,SDP,AA,20,4.3,20,90.0,76,50,43,8,41,9,94,0.24479167,0.10677083,0.13802083,1.3,0.29310345,0.66202091,4.1726507504781,4.39521659281518,0.341772151,0.11852861,575,893,sa3015220,,,
496,D.J. McCarty,TEX,A+,21,4.21100976380651,15,72.2,68,39,34,10,27,12,83,0.25696594,0.08359133,0.17337461,1.3073396325543,0.30366492,0.7311828,4.69817629328443,4.24574762795966,0.4,0.12086093,431,777,sa3015222,,,
497,Myles Gayman,CIN,A+,26,8.09999887639841,0,36.2,49,34,33,3,10,3,28,0.16374269,0.05847953,0.10526316,1.60909068588386,0.36220472,0.48442907,4.04298278115013,4.44063280419957,0.390625,0.11276949,187,416,sa3015275,,,
498,Alex Martinez,LAA,A,21,3.01675951937375,0,59.2,51,26,20,1,30,2,66,0.25882353,0.11764706,0.14117647,1.35754178371819,0.32051282,0.69852941,3.69697146158696,4.56388672151587,0.444444444,0.09951691,392,643,sa3015284,,,
499,Josh Stephan,TEX,AA,22,4.93714328762758,11,58.1,67,32,32,9,17,2,55,0.21912351,0.06772908,0.15139442,1.44000012555804,0.3452381,0.73569482,4.5364603699509,3.87592108207789,0.397727272,0.10998878,311,580,sa3015286,,,
500,Anthony Hoopii-Tuionetoa,CHW,AA,23,2.29245303643901,0,35.1,23,10,9,2,12,1,37,0.27007299,0.08759124,0.18248175,0.990566126856365,0.24705882,0.78313253,3.12103668264346,3.51054310691587,0.369047619,0.12903226,210,348,sa3015298,,,
501,Jose Luis Reyes,SDP,"A,A+",21,6.66233766233766,16,77.0,94,64,57,8,24,11,76,0.21169916,0.06685237,0.1448468,1.53246753246753,0.35833333,0.55178268,4.76457299071473,4.56341932483694,0.404166666,0.09387122,464,825,sa3015304,,,
502,Elison Joseph,ATL,"A+,AA",23,2.32031222339722,0,42.2,26,17,11,1,20,2,59,0.32960894,0.11173184,0.2178771,1.0781248714775,0.25773196,0.66523605,2.61275631287585,3.27490755722343,0.45054945,0.16955941,296,453,sa3015306,,,
503,Kai Wynyard,TEX,"A,A+",22,2.9495795778228,0,39.2,31,13,13,2,23,5,39,0.22674419,0.13372093,0.09302326,1.3613444205336,0.2815534,0.81850534,4.39139230002978,4.82979532252927,0.392156862,0.13199426,282,415,sa3015311,,,
504,Javier Chacon,SDP,A,21,3.60962596298674,2,62.1,45,31,25,5,35,5,80,0.29962547,0.13108614,0.16853933,1.2834225646175,0.28169014,0.69230769,4.48351584050547,4.51316467430786,0.369863013,0.13231323,432,679,sa3015312,,,
505,Alonzo Richardson,CLE,"A,A+",21,3.84406807000595,17,98.1,96,50,42,6,35,3,65,0.15513126,0.08353222,0.07159905,1.33220348457878,0.29032258,0.66878981,4.20420933807599,4.42714609351472,0.388888888,0.08355978,530,942,sa3015333,,,
506,Aidan Curry,TEX,A+,21,7.30043014073582,17,77.2,81,69,63,20,38,5,93,0.25977654,0.10614525,0.15363129,1.53218904188282,0.3019802,0.57291667,6.19723148607694,4.40845597950529,0.337962962,0.12709497,555,877,sa3015334,The Geriatric and Injured,,
507,Juan Mendez,MIN,A+,25,4.68367274013087,0,32.2,41,22,17,3,14,1,41,0.26623377,0.09090909,0.17532468,1.68367320723658,0.4,0.65637066,3.50420734464303,3.3696382258627,0.395833333,0.13395639,230,412,sa3015336,,,
508,Moises Chace,BAL,A+,21,3.56043937387364,11,60.2,43,26,24,5,33,6,89,0.3463035,0.12840467,0.21789883,1.25274718710369,0.30645161,0.74666667,3.64943130063832,3.58681245545095,0.440944881,0.15541741,447,679,sa3015346,,,
509,Yerlin Rodriguez,MIL,A+,22,5.35344757166269,0,38.2,25,25,23,3,43,7,52,0.27225131,0.22513089,0.04712042,1.75862045832397,0.25581395,0.70621469,5.64125843728485,5.32548911935214,0.546511627,0.12073171,384,436,sa3015362,,,
510,Angel Hernandez,CHC,"A,A+",24,4.20359257431986,0,55.2,40,29,26,3,39,2,62,0.2605042,0.16386555,0.09663866,1.41916159560371,0.28030303,0.67708333,4.23512952472511,4.13224263123175,0.557251908,0.11864407,379,565,sa3015363,,,
511,Arij Fransen,CIN,A+,23,3.74096419929267,0,55.1,56,25,23,1,35,4,42,0.1627907,0.13565891,0.02713178,1.64457846442334,0.3125,0.74786325,4.27430824200047,5.2699448828156,0.431034482,0.10488798,385,597,sa3015369,,,
512,Yujanyer Herrera,MIL,"A,A+",20,2.84810126582278,11,79.0,65,27,25,1,28,7,90,0.27439024,0.08536585,0.18902439,1.17721518987341,0.31683168,0.74036511,2.69381355696086,3.21167813066063,0.512690355,0.14845024,448,778,sa3015370,,,
513,Adrian Rodriguez,TEX,A+,23,6.68571428571428,0,35.0,19,29,26,6,47,5,63,0.3559322,0.26553672,0.09039548,1.88571428571428,0.23214286,0.67092652,6.66921152387346,5.3149418552007,0.344827586,0.1424767,353,398,sa3015385,,,
514,Edgar Portes,BAL,A+,21,3.45867812210942,10,80.2,65,33,31,4,42,4,102,0.29059829,0.11965812,0.17094017,1.32644644826418,0.30653266,0.74003795,3.4099434972648,4.08477915246041,0.375,0.15425532,502,814,sa3015386,,,
515,Jeison Pena,MIL,A,21,5.44537745302633,0,39.2,39,24,24,1,24,3,33,0.1875,0.13636364,0.05113636,1.58823509046601,0.33043478,0.6501548,4.29063644333754,4.83790443255046,0.408695652,0.11929308,268,411,sa3015403,,,
516,Eiberson Castellano,PHI,"A+,AA",23,3.62845871686121,16,84.1,72,39,34,7,26,7,108,0.30594901,0.07365439,0.23229462,1.16205540605359,0.31707317,0.69327731,3.23727584850348,3.17570660035497,0.475728155,0.13675832,532,850,sa3015414,,,
517,Jose Gonzalez,TEX,A,22,2.09387781183706,11,81.2,63,27,19,2,19,4,110,0.33742331,0.05828221,0.2791411,1.00408175772303,0.31937173,0.70913462,2.05414174535479,2.59726011747682,0.340425531,0.16340426,378,797,sa3015415,,,
518,Alberto Pacheco,COL,A,21,3.7926425275661,18,99.2,85,47,42,11,43,8,100,0.23584906,0.10141509,0.13443396,1.28428106753561,0.28244275,0.73797678,5.0456570897142,4.49451722945364,0.460377358,0.11707317,633,1007,sa3015421,,,
519,Waylin Santana,LAD,"A,CPX",21,7.8,1,30.0,46,31,26,6,18,6,27,0.17088608,0.11392405,0.05696203,2.13333333333333,0.3960396,0.63311688,7.36438331604004,6.09681678588191,0.3592233,0.10981697,258,343,sa3015425,,,
520,Miguelangel Boadas,MIN,A+,21,6.23076988375002,8,30.1,31,29,21,2,14,8,39,0.26712329,0.09589041,0.17123288,1.4835166389881,0.34939759,0.47808765,3.90452137428729,4.33537141969385,0.329113924,0.13768116,195,357,sa3015427,,,
521,Jeremy Peguero,NYM,"A,CPX",22,1.9918035900872,0,40.2,21,13,9,1,29,7,58,0.32768362,0.16384181,0.16384181,1.22950838894271,0.24390244,0.79136691,3.73863481487163,4.38860327677888,0.365853658,0.18944099,262,382,sa3015429,,,
522,Jean Cabrera,PHI,"A+,AA",22,3.52577319587628,17,97.0,81,42,38,6,32,7,102,0.25628141,0.08040201,0.1758794,1.16494845360824,0.29880478,0.69892473,3.4593145960385,3.6233252860068,0.5,0.14400536,551,942,sa3015433,,,
523,Jose Rodriguez,LAD,"A,A+",22,3.73660688832099,6,74.2,65,35,31,1,25,4,108,0.33855799,0.07836991,0.26018809,1.2053570607487,0.35359116,0.63714903,2.18630529786116,2.94608351048318,0.409090909,0.20445177,431,782,sa3015437,,,
524,Roque Gutierrez,LAD,A,21,5.24696388689196,4,82.1,83,56,48,10,32,2,107,0.29476584,0.08815427,0.20661157,1.39676121989022,0.34433962,0.59223301,4.30106978434966,3.89489625907431,0.341232227,0.14788227,492,901,sa3015440,,,
525,Mikell Manzano,SFG,"A,CPX",21,3.98863601783093,6,58.2,64,28,26,3,16,1,39,0.156,0.064,0.092,1.36363624541228,0.31937173,0.69010417,4.73392097846404,5.20608492847281,0.418848167,0.10526316,240,482,sa3015441,,,
526,Yoniel Curet,TBR,A+,21,3.2785716072394,21,93.1,67,40,34,6,49,14,122,0.30348259,0.12189055,0.18159204,1.24285721058748,0.28909953,0.74013158,3.82992582301704,4.1203502329991,0.352112676,0.13762626,598,986,sa3015446,,,
527,Dualvert Gutierrez,CIN,"A,CPX",23,5.303570254421,9,37.1,43,22,22,4,15,0,35,0.21212121,0.09090909,0.12121212,1.55357108462837,0.35135135,0.6870229,4.41198482576438,4.32989153432782,0.362831858,0.11279461,214,380,sa3015452,,,
528,Ruben Castillo,LAA,A,23,7.18831240055157,5,51.1,62,43,41,5,33,7,51,0.20238095,0.13095238,0.07142857,1.85064953401734,0.36538462,0.62105263,5.69932956615133,5.77667254902206,0.348101265,0.11630435,365,555,sa3015455,,,
529,Abel Brito,CLE,A,23,6.63157894736842,0,38.0,37,36,28,3,38,6,36,0.18947368,0.2,-0.01052632,1.97368421052631,0.31775701,0.5859375,6.19001733880294,6.15113539538885,0.420560747,0.11574697,341,402,sa3015458,,,
530,Brayan Restituyo,OAK,"A,CPX",22,7.07142857142857,0,42.0,49,35,33,4,16,3,44,0.22680412,0.08247423,0.1443299,1.54761904761904,0.35433071,0.52884615,5.02627180534486,5.09245030599717,0.409448818,0.16169545,218,419,sa3015461,,,
531,Yordanny Monegro,BOS,"A+,CPX",21,3.24590163934426,14,61.0,45,29,22,7,22,2,74,0.29959514,0.08906883,0.21052632,1.0983606557377,0.26760563,0.67567568,3.86881478419069,3.46383319887958,0.458333333,0.16596639,362,590,sa3015476,,,
532,Brayan Mendoza,TEX,A,20,2.41276611411016,14,78.1,67,31,21,6,19,6,83,0.25776398,0.05900621,0.19875776,1.0978724117115,0.29326923,0.72966507,3.4187967233239,3.14156771671119,0.546341463,0.14762302,421,778,sa3015477,,,
533,Alimber Santa,HOU,"A,AA,CPX",21,6.56074707880224,2,35.2,37,33,26,6,17,0,44,0.27329193,0.10559006,0.16770186,1.51401855664667,0.32978723,0.46052632,4.685084417795,3.61860390883965,0.389473684,0.11396469,224,399,sa3015478,,,
534,Junior Flores,SFG,A,22,4.856115640996,0,46.1,46,32,25,2,32,7,39,0.17488789,0.14349776,0.03139014,1.68345342221194,0.30769231,0.64476886,5.48532414090579,5.95471952372186,0.43884892,0.1122449,363,519,sa3015479,,,
535,Jose Romero,CHC,A+,23,5.11363636363636,0,44.0,43,27,25,2,43,8,52,0.24413146,0.20187793,0.04225352,1.95454545454545,0.37962963,0.73464912,5.14752831892533,5.41918414160609,0.481481481,0.11136891,400,462,sa3015483,,,
536,Jan Caraballo,SFG,DSL,20,2.27102771352212,0,35.2,25,13,9,1,15,1,38,0.2585034,0.10204082,0.15646259,1.12149516717141,0.26086957,0.70707071,3.533536297174,3.82574939181564,0.415730337,0.35869565,68,208,sa3015485,,,
537,Jose Rojas,SFG,DSL,20,2.94059361514952,0,33.2,32,17,11,2,7,2,26,0.18055556,0.04861111,0.13194444,1.15841566657405,0.28037383,0.62827225,3.98379995067287,3.99642737850896,0.48076923,0.30263158,41,187,sa3015486,,,
538,Rayner Castillo,DET,"A,CPX",20,2.81595049188349,13,54.1,41,19,17,3,21,3,45,0.20454545,0.09545455,0.10909091,1.14110412089396,0.25675676,0.75657895,3.98091691872162,3.94128638151532,0.547297297,0.11989796,281,503,sa3015487,,,
539,Antwone Kelly,PIT,A,20,3.75,11,60.0,50,30,25,7,25,2,59,0.23228346,0.0984252,0.13385827,1.25,0.26708075,0.69940476,4.44474158287048,3.98196236689885,0.469512195,0.13007284,355,606,sa3015489,,,
540,Kelvin Ramirez,LAD,A+,23,3.77622337328254,1,47.2,41,22,20,5,18,1,53,0.26767677,0.09090909,0.17676768,1.23776210568705,0.29752066,0.71698113,3.77864716422722,3.46882317152051,0.354838709,0.14052698,283,514,sa3015492,,,
541,Fernando Guanare,LAA,A,21,8.29133957886458,0,42.1,67,42,39,7,20,6,39,0.18055556,0.09259259,0.08796296,2.05511835715446,0.41666667,0.61298077,6.23205284654591,5.48608132362861,0.418918918,0.09749671,317,442,sa3015496,,,
542,Joel Diaz,NYM,"A,CPX",20,4.87951734343235,13,55.1,57,38,30,9,19,3,53,0.21544715,0.07723577,0.13821138,1.37349377074392,0.2962963,0.61746988,4.96994532410857,4.34338464924919,0.323353293,0.12216216,331,594,sa3015500,,,
543,Danyony Pulido,PHI,"A,CPX",21,3.83225782872736,11,51.2,43,25,22,3,31,4,61,0.2699115,0.13716814,0.13274336,1.43225797639305,0.31496063,0.71815718,4.14166611285475,4.03769417339694,0.444444444,0.09666283,364,505,sa3015502,,,
544,Yaqui Rivera,BAL,A+,20,2.43609050505106,0,44.1,28,20,12,2,23,8,44,0.23036649,0.12041885,0.10994764,1.15037607182966,0.22807018,0.69395018,4.28274543868309,5.1667869113653,0.377192982,0.12708601,305,474,sa3015504,,,
545,Miguel Mendez,SDP,A,21,4.35483870967741,16,62.0,53,30,30,4,46,8,71,0.24825175,0.16083916,0.08741259,1.59677419354838,0.31210191,0.75936884,5.24373661164314,5.39765120672602,0.4125,0.13096271,466,687,sa3015506,,,
546,Carlos Marcano,DET,A+,20,3.92553191489361,20,94.0,101,51,41,4,27,4,83,0.20544554,0.06683168,0.13861386,1.36170212765957,0.33916084,0.64082278,3.21957860906073,3.58077070143945,0.459074733,0.11192538,528,973,sa3015509,,,
547,Francis Reynoso,CHC,A,21,5.18181818181818,0,33.0,23,20,19,4,21,3,42,0.28187919,0.1409396,0.1409396,1.33333333333333,0.24050633,0.65217391,4.79687539302941,4.24445834864269,0.341463414,0.11929825,227,343,sa3015619,,,
548,Grabiel Salazar,BAL,A,23,3.97894696898741,0,31.2,30,19,14,1,22,4,35,0.23809524,0.14965986,0.08843538,1.64210509831226,0.34117647,0.67765568,4.24791200907277,4.60758405710347,0.5,0.09983361,259,342,sa3015667,,,
549,Yorman Gomez,CLE,"A,A+",21,3.88073394495412,21,109.0,99,57,47,6,40,6,103,0.21868365,0.08492569,0.13375796,1.27522935779816,0.2943038,0.64421669,3.66999402877387,3.92111593084324,0.432258064,0.13952131,596,1117,sa3015931,,,
550,Stiven Cruz,MIL,A+,22,3.97674418604651,1,43.0,38,19,19,6,21,2,34,0.18888889,0.11666667,0.07222222,1.37209302325581,0.27350427,0.79847909,5.28019216670546,4.76421597648498,0.380165289,0.09787234,269,436,sa3015938,,,
551,Darlin Saladin,STL,"A,A+",21,2.64873430511543,18,105.1,88,32,31,3,30,3,114,0.27272727,0.07177033,0.20095694,1.12025321865097,0.31716418,0.7619863,2.64651627316213,3.34338925103674,0.433333333,0.12911084,584,1058,sa3015949,,,
552,Winston Santos,TEX,"A+,AA",22,3.51301147623416,18,89.2,76,37,35,10,27,7,111,0.296,0.072,0.224,1.14869899064164,0.3,0.76041667,3.65428659404457,3.51818475342124,0.32,0.14315353,470,976,sa3015952,,,
553,Daniel Gonzalez,CHW,"A,CPX",22,1.2,0,30.0,18,13,4,1,21,1,46,0.35114504,0.16030534,0.1908397,1.3,0.27419355,0.69948187,4.11534468332926,4.40585421745975,0.421052631,0.16115702,198,286,sa3015957,,,
554,Mauricio Veliz,KCR,"A,CPX",21,7.71428427609184,14,44.1,56,42,38,4,27,8,40,0.18099548,0.12217195,0.05882353,1.87218010209246,0.36619718,0.57377049,5.56411009092219,5.3656095755254,0.387323943,0.13712807,294,479,sa3015959,,,
555,Yoldin De La Paz,PIT,"A,A+",22,3.88636363636363,1,44.0,35,23,19,5,12,1,42,0.23463687,0.06703911,0.16759777,1.06818181818181,0.25210084,0.6097561,4.01807765536195,3.5791987139276,0.525,0.11694153,227,440,sa3015975,,,
556,Estibenzon Jimenez,PHI,A+,22,7.47087489316994,12,68.2,88,65,57,9,26,8,76,0.23170732,0.07926829,0.15243903,1.66019442070443,0.37799043,0.52102377,4.55922553804687,4.42476719561572,0.361502347,0.12722853,431,803,sa3015983,,,
557,Layonel Ovalles,NYM,"A,CPX",21,5.81896503884504,0,38.2,35,25,25,1,26,2,38,0.2183908,0.14942529,0.06896552,1.57758607719798,0.31775701,0.61688312,4.14320217541432,4.77581219369971,0.388888888,0.16051364,257,366,sa3015993,,,
558,Pedro Reyes,PHI,"A,CPX",21,2.73417695113778,7,52.2,45,19,16,5,13,4,35,0.1627907,0.06046512,0.10232558,1.10126571643049,0.25316456,0.78181818,4.66554514748673,4.19119440135375,0.478260869,0.10736196,221,431,sa3015994,,,
559,Anyelo Ovando,SEA,"A,A+",23,5.23880537359831,0,44.2,36,34,26,3,30,12,59,0.27699531,0.14084507,0.13615024,1.47761177204054,0.30275229,0.59620596,5.06722990821341,5.1056832704421,0.443396226,0.11097993,344,503,sa3015996,,,
560,John Stankiewicz,MIN,"A+,AA,AAA",25,3.52941176470588,0,51.0,48,23,20,5,12,1,49,0.23444976,0.05741627,0.17703349,1.17647058823529,0.3028169,0.7037037,3.55840102738025,3.58550918739216,0.406896551,0.10060606,283,542,sa3016001,,,
561,Randel Clemente,STL,"A,CPX",22,4.90909129600614,0,40.1,24,23,22,1,36,1,64,0.36158192,0.20338983,0.15819209,1.48760342303216,0.30666667,0.63758389,3.62785084179937,3.73604799949344,0.447368421,0.1785174,279,382,sa3016003,,,
562,Emerson Talavera,CHW,"A,CPX",21,5.97541105052047,0,40.2,46,28,27,6,14,5,41,0.22162162,0.07567568,0.14594595,1.47541013593098,0.33613445,0.65371025,5.79968876285851,5.43609338984325,0.336065573,0.12922173,227,454,sa3016005,,,
563,Kenyi Perez,CHC,A,22,8.91509562295814,0,35.1,21,38,35,2,55,8,65,0.34574468,0.29255319,0.05319149,2.15094370585656,0.32758621,0.56650246,5.99041490456357,5.75899546336496,0.350877192,0.13265306,394,390,sa3016008,,,
564,David Tiburcio,LAD,A,22,6.35294188925147,1,45.1,53,42,32,8,26,2,38,0.17511521,0.11981567,0.05529954,1.74264725434328,0.31468531,0.55873926,6.55303480154918,5.35900847465892,0.430555555,0.125,307,493,sa3016010,,,
565,Brayan Palencia,SFG,"A,CPX",21,2.35570445674364,3,49.2,47,20,13,4,12,2,49,0.23671498,0.05797101,0.17874396,1.18791934143482,0.30714286,0.7400722,4.17513194063064,4.20170509085949,0.423357664,0.16592593,219,456,sa3016011,,,
566,Deivy Cruz,BAL,"A,A+",20,5.57608637850322,0,30.2,21,20,19,1,30,9,44,0.30136986,0.20547945,0.09589041,1.66304330586938,0.32258065,0.68259386,4.95310330084033,5.52703459775255,0.349206349,0.14516129,281,339,sa3016013,,,
567,Ricardo Estrada,SFG,DSL,22,1.2755907044407,8,42.1,25,10,6,0,14,2,49,0.28994083,0.08284024,0.20710059,0.921259953207175,0.24038462,0.75609756,2.77299448075151,3.14184914756457,0.585858585,0.34036145,76,256,sa3016017,,,
568,Luigi Hernandez,PIT,A,20,6.60839090324445,0,47.2,43,38,35,2,46,10,62,0.26271186,0.19491525,0.06779661,1.86713266790081,0.35344828,0.63409563,5.01327289470258,5.21256028798844,0.48275862,0.11379658,443,550,sa3016022,,,
569,Dikember Sanchez,MIL,"A,CPX",20,1.8692304949789,0,43.1,27,13,9,3,13,2,53,0.3045977,0.07471264,0.22988506,0.923076787643903,0.23300971,0.76719577,3.47917220947439,3.07835777900632,0.578947368,0.1645768,226,412,sa3016033,,,
570,Bradgley Rodriguez,SDP,"A,A+,AA",20,2.32450338099265,0,50.1,31,17,13,2,25,4,60,0.28985507,0.12077295,0.16908213,1.11258281483409,0.25,0.75174825,3.37142494343681,3.82628741135954,0.419642857,0.16707317,305,515,sa3016035,,,
571,Ricardo Yan,ARI,A+,21,3.68181767109018,9,36.2,24,25,15,2,31,4,36,0.21686747,0.18674699,0.03012048,1.49999979192563,0.23655914,0.60498221,5.08893830780158,5.22596881822725,0.538461538,0.08491947,295,388,sa3016056,,,
572,Welinton Herrera,COL,"A,A+",20,3.2062501911074,0,53.1,43,19,19,1,18,6,84,0.37837838,0.08108108,0.2972973,1.14375006817281,0.37168142,0.73170732,2.3077542023603,2.57370644347459,0.584070796,0.15641855,312,615,sa3016061,,,
573,Deyer Zapata,ARI,CPX,20,3.89423019787272,0,34.2,33,17,15,4,19,1,41,0.26451613,0.12258065,0.14193548,1.49999977992134,0.32222222,0.75949367,5.5623584798102,5.01650060512766,0.382022471,0.1627907,182,291,sa3016063,,,
574,Felipe De La Cruz,NYM,A+,23,4.39772727272727,20,88.0,84,48,43,2,38,6,99,0.25647668,0.0984456,0.15803109,1.38636363636363,0.34024896,0.63897764,3.12895178361372,3.96741132893684,0.415254237,0.13490504,552,975,sa3016065,,,
575,Brayan Diaz,CHC,DSL,23,5.19230693049696,0,34.2,30,25,20,1,17,10,39,0.25,0.10897436,0.14102564,1.35576903185198,0.3258427,0.57553957,4.41563537868523,4.71627769597404,0.413793103,0.35099338,92,210,sa3016069,,,
576,Allen Facundo,NYY,A,21,2.4,7,30.0,18,10,8,1,14,3,38,0.3015873,0.11111111,0.19047619,1.06666666666666,0.24285714,0.74404762,3.14474158287048,3.19212884108225,0.608695652,0.15498938,194,277,sa3016071,,,
577,Randy Beriguete,BAL,A,21,2.972477480334,0,36.1,28,16,12,1,24,2,27,0.16875,0.15,0.01875,1.43119286090155,0.25471698,0.72243346,4.60310294731892,4.94239688889233,0.509615384,0.1010101,236,358,sa3016199,,,
578,Jawilme Ramirez,NYM,"A,A+,AAA",22,3.42639567369213,6,65.2,52,26,25,3,32,4,53,0.18996416,0.11469534,0.07526882,1.27918771817839,0.26203209,0.7398568,4.19722809806236,4.86297289292801,0.4,0.10364146,402,669,sa3016204,,,
579,Darlin Pinales,ARI,"A,CPX",21,4.66363595931001,0,36.2,22,23,19,1,39,6,59,0.34104046,0.22543353,0.11560694,1.66363621940298,0.30882353,0.67073171,5.21906509081937,5.19912515246401,0.63076923,0.14824798,331,411,sa3016211,,,
580,Juan Salas,STL,A,21,3.02166081627034,18,92.1,78,40,31,9,24,6,101,0.26719577,0.06349206,0.2037037,1.10469320164722,0.28991597,0.71278826,3.59889321040221,3.56925696428845,0.305785123,0.12869924,493,960,sa3016216,,,
581,Cristopher Castro,TOR,"A,CPX",21,5.09790298185466,11,47.2,36,33,27,6,34,2,56,0.26415094,0.16037736,0.10377359,1.46853172316801,0.26315789,0.61320755,5.35100095152461,4.30355542931241,0.515151515,0.15514334,238,355,sa3016218,,,
582,Francis Hernandez,BOS,A,22,7.01105031480739,1,60.1,57,57,47,7,34,6,49,0.18014706,0.125,0.05514706,1.50828741997038,0.28409091,0.4587156,5.4576825155967,5.03775459228895,0.375,0.12192513,366,569,sa3016223,,,
583,Victor Juarez,COL,A+,21,4.75899332817608,18,92.2,99,60,49,17,29,5,94,0.23558897,0.0726817,0.16290727,1.38129511566108,0.32283465,0.66849817,4.93668231421652,3.90385190406938,0.386363636,0.13216453,508,975,sa3016226,,,
584,Ismael Luciano,COL,"A,CPX",21,5.93717247842257,5,63.2,75,44,42,6,35,8,63,0.21355932,0.11864407,0.09491526,1.72774860483196,0.37704918,0.67518248,5.84696315622994,5.487975027062,0.486631016,0.14270501,370,569,sa3016227,,,
585,Jaydenn Estanista,PHI,"A,A+",22,4.02127659574468,0,47.0,29,24,21,5,28,4,65,0.32663317,0.14070352,0.18592965,1.2127659574468,0.24742268,0.68518519,4.21750946552195,3.84460520081697,0.353535353,0.15513126,316,522,sa3016230,,,
586,Marlon Franco,SFG,DSL,21,1.6875,9,48.0,37,19,9,2,4,8,46,0.2408377,0.02094241,0.21989529,0.854166666666666,0.26717557,0.64935065,3.32909698486328,3.36297751494372,0.44347826,0.40138408,33,256,sa3016242,,,
587,Jose Gonzalez,SFG,DSL,22,6.08823529411764,8,34.0,35,26,23,0,18,5,38,0.24358974,0.11538462,0.12820513,1.55882352941176,0.36842105,0.55172414,3.7482146319221,4.10149168363388,0.578313253,0.32851986,84,193,sa3016249,,,
588,Austin Aldeano,CLE,CPX,20,5.17808165060783,7,48.2,45,30,28,7,19,5,39,0.1875,0.09134615,0.09615385,1.31506835570992,0.27536232,0.65878378,6.44354915132129,5.95243078033526,0.363636363,0.09691011,255,457,sa3016259,,,
589,Christian Romero,LAD,"A+,AA,AAA",21,4.55844155844155,11,77.0,75,45,39,10,31,13,55,0.16176471,0.09117647,0.07058824,1.37662337662337,0.28138528,0.7047619,5.51628856164258,5.09040084226529,0.493562231,0.1015748,470,800,sa3016260,,,
590,Jedixson Paez,BOS,"A,A+",20,2.85365853658536,10,82.0,77,31,26,8,11,2,97,0.29573171,0.03353659,0.26219512,1.07317073170731,0.32857143,0.74873096,2.9620365328905,2.53909376056455,0.459715639,0.17506405,344,827,sa3016264,,,
591,Jose Olivares,MIN,"A,CPX",21,3.40336107179008,11,39.2,35,17,15,1,16,1,41,0.24404762,0.0952381,0.14880952,1.28571418267625,0.31192661,0.6916996,3.12380632473664,3.7871601554946,0.453703703,0.17098446,206,373,sa3016267,,,
592,Ismael Michel,KCR,"A,CPX",22,1.43617035847221,0,31.1,16,7,5,2,15,3,40,0.32,0.12,0.2,0.989361802503078,0.21538462,0.86538462,3.95155000022888,3.96181647680845,0.459016393,0.21728395,149,256,sa3016270,,,
593,Scarlyn Lebron,CHC,"A,CPX",22,5.4,0,30.0,30,22,18,1,28,5,36,0.24,0.18666667,0.05333333,1.93333333333333,0.3625,0.66558442,5.58541940053304,6.22035124599933,0.379746835,0.11149826,260,314,sa3016277,,,
594,Juan Martinez,CIN,A,21,2.64705882352941,5,34.0,24,17,10,1,14,2,29,0.20422535,0.09859155,0.1056338,1.11764705882352,0.23958333,0.59585492,3.63297687698813,4.06632629703073,0.467391304,0.09245283,205,325,sa3016278,,,
595,Keiner Leon,TOR,A,20,6.09677419354838,0,31.0,35,24,21,5,21,0,37,0.25874126,0.14685315,0.11188811,1.80645161290322,0.375,0.65306122,5.28667706674145,4.72868590816374,0.247058823,0.12542373,240,350,sa3016279,,,
596,Keythel Key,LAA,"A,A+,CPX",20,5.13716757796989,12,75.1,82,57,43,8,42,8,90,0.25352113,0.11830986,0.13521127,1.64601751852265,0.35748792,0.62086093,5.26770597101604,4.80620622468336,0.421800947,0.13227513,510,813,sa3016282,,,
597,Juan Rojas,BAL,"A,CPX",20,5.21052631578947,6,38.0,29,24,22,1,23,1,43,0.26219512,0.1402439,0.12195122,1.36842105263157,0.29166667,0.5620155,3.56473260427776,3.81307992688135,0.5,0.14790997,234,388,sa3016285,,,
598,Yendy Gomez,LAA,"A,CPX",20,3.34710691040497,0,40.1,40,23,15,3,15,0,43,0.25,0.0872093,0.1627907,1.3636361486835,0.33333333,0.62992126,4.51533991985009,4.44123917428211,0.486486486,0.10225303,197,380,sa3016287,,,
